"Product.Sector.Code","Product.Sector"
"AG","Agricultural products"
"AGFO","Food"
"MA","Manufactures"
"MACH","Chemicals"
"MACHPH","Pharmaceuticals"
"MACL","Clothing"
"MAIS","Iron and steel"
"MAMT","Machinery and transport equipment"
"MAMTAU","Automotive products"
"MAMTOF","Office and telecom equipment"
"MAMTOTEP","Electronic data processing and office equipment"
"MAMTOTIC","Integrated circuits and electronic components"
"MAMTOTTL","Telecommunications equipment"
"MAMTTE","Transport equipment"
"MATE","Textiles"
"MI","Fuels and mining products"
"MIFU","Fuels"
"TO","Total merchandise"
